indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
1996-01-01,3652.5535360000017,2215.4,2131.623,826.125,281.732,316.379,0.0,182.922,,45.282,55.145,133.644,73.006,813.659,205.276,353.654,0.0,33.49
1996-02-01,3433.461066,2034.2,1958.236,847.935,239.262,236.082,0.0,146.003,,41.234,52.265,112.289,72.979,795.599,192.714,341.622,0.0,40.999
1996-03-01,3724.930466000002,2277.9,2193.624,821.815,231.589,362.762,0.0,166.008,,55.994,51.932,131.338,40.937,883.508,200.882,346.777,0.0,45.329
1996-04-01,3639.8616340000012,2212.0,2127.846,798.993,200.067,391.168,0.0,148.237,,45.742,58.505,123.022,33.622,902.791,204.901,338.528,0.0,39.412
1996-05-01,3837.41376,2308.2,2224.31,905.344,213.232,362.31,0.0,166.291,,76.306,72.6,116.845,63.68,966.94,208.982,333.038,0.0,47.495
1996-06-01,3780.383183000001,2358.2,2273.388,970.29,202.528,356.286,0.0,201.1,,61.958,58.507,120.285,32.25,869.348,189.875,310.407,0.0,33.665
1996-07-01,3913.321505,2543.2,2459.279,980.345,237.826,386.091,0.0,273.277,,78.045,61.29,123.547,40.189,970.271,213.498,336.061,0.0,30.133
1996-08-01,3928.992493,2502.6,2417.784,925.338,196.788,361.767,0.0,215.631,,78.252,54.257,119.65,104.965,1092.122,213.911,342.302,0.0,32.686
1996-09-01,3850.3965529999996,2319.5,2271.987,1051.189,164.316,397.418,0.0,182.28,,52.931,58.56,97.062,71.669,953.182,224.856,345.867,0.0,36.098
1996-10-01,3938.9239970000003,2361.2,2271.608,934.135,209.228,247.229,0.0,212.891,,44.448,49.276,127.949,65.083,687.511,175.879,275.912,0.0,39.88
1996-11-01,3868.6101409999997,2249.2,2163.187,846.063,211.105,339.644,0.0,131.293,,34.689,55.196,133.555,109.99,820.947,191.006,295.788,0.0,44.875
1996-12-01,4000.759306999999,2303.0,2206.129,866.581,206.075,317.468,0.0,145.342,,43.905,48.776,120.252,114.005,918.883,209.179,339.987,0.0,37.764
1997-01-01,4019.1894730000004,2453.0,2367.792,1015.28,203.626,315.786,0.0,160.661,,48.87,51.778,109.531,102.745,874.118,193.947,331.542,0.0,40.939
1997-02-01,3670.2825450000014,2329.9,2252.286,903.165,231.6,301.101,0.0,150.109,,44.821,49.539,122.46,106.02,806.711,172.406,294.778,0.0,45.409
1997-03-01,4064.6308330000006,2580.2,2493.765,985.407,261.343,234.897,0.0,129.936,,50.106,57.918,112.119,125.649,936.256,190.897,321.236,0.0,48.631
1997-04-01,4005.0620919999997,2464.0,2380.571,918.336,255.016,255.699,0.0,242.156,,44.156,53.777,106.035,72.893,960.382,190.73,320.482,0.0,49.821
1997-05-01,4157.267542000001,2544.8,2458.105,1100.106,173.88,290.72,0.0,191.819,,52.873,49.169,84.617,112.798,929.717,186.021,311.843,0.0,40.87
1997-06-01,3885.2906630000007,2420.3,2338.351,865.489,251.735,334.43,0.0,174.173,,59.343,53.539,73.815,109.014,844.325,175.322,296.372,0.0,34.654
1997-07-01,4040.901205999998,2592.3,2507.651,1058.79,238.654,364.376,0.0,163.166,,57.387,58.912,108.987,78.031,995.145,189.648,323.204,0.0,36.569
1997-08-01,4145.783978999999,2622.6,2536.612,908.819,265.947,284.879,0.0,180.65,,57.242,56.913,124.012,87.181,919.795,179.358,308.677,0.0,48.776
1997-09-01,4026.092598,2581.0,2496.095,1072.831,204.951,337.657,0.0,133.383,,69.076,54.049,100.313,113.725,965.38,177.114,301.734,0.0,56.763
1997-10-01,4189.481892999999,2654.3,2567.63,991.559,216.471,370.155,0.0,152.918,,52.574,66.491,125.491,126.006,1020.39,186.61,317.149,0.0,55.606
1997-11-01,4044.610708999999,2490.7,2407.379,1096.362,237.649,316.112,0.0,149.548,,69.967,59.68,118.83,79.002,922.844,161.524,289.644,0.0,65.031
1997-12-01,4154.364683000001,2578.5,2492.361,1138.57,228.596,329.856,0.0,135.359,,58.23,65.938,142.164,84.844,999.491,188.432,348.552,0.0,67.448
1998-01-01,4136.774519,2452.0,2367.146,1078.548,203.913,365.225,0.0,160.664,,63.173,67.159,135.909,96.339,907.625,167.252,328.627,0.0,63.986
1998-02-01,3748.1488130000007,2436.0,2359.11,906.228,161.49,416.117,0.0,137.622,,68.922,58.53,147.572,112.808,835.207,149.038,294.964,0.0,73.987
1998-03-01,4155.681212,2757.5,2673.631,1141.262,244.818,337.8,0.0,170.791,,61.478,65.048,158.33,121.828,1037.982,161.583,309.988,0.0,84.615
1998-04-01,4016.7702679999984,2661.0,2580.358,985.693,282.091,283.808,0.0,160.402,,62.065,70.614,129.134,96.289,951.098,159.889,310.569,0.0,75.653
1998-05-01,4230.240045,2746.8,2661.506,1114.113,328.127,273.985,0.0,154.958,,79.052,62.017,135.573,103.281,1005.673,154.197,295.248,0.0,71.28
1998-06-01,4072.102593000001,2601.0,2518.652,924.026,228.242,363.257,0.0,170.993,,56.679,60.687,141.874,119.131,1025.913,152.434,290.11,0.0,65.542
1998-07-01,4175.748591000001,2687.3,2601.782,1069.911,222.468,448.179,0.0,156.053,,60.971,63.728,130.978,98.521,1009.874,158.854,306.428,0.0,61.231
1998-08-01,4201.8652,2512.1,2429.618,957.061,188.658,359.649,0.0,184.049,,52.173,70.271,129.138,113.758,973.34,153.538,303.072,0.0,66.942
1998-09-01,4082.859949000001,2543.6,2463.598,981.175,193.89,366.031,0.0,174.268,,67.591,61.658,159.227,84.147,981.296,151.904,294.453,0.0,60.642
1998-10-01,4184.793267999999,2746.0,2718.526,1027.272,277.716,352.306,0.0,142.053,,66.284,66.129,133.687,130.9,1011.882,157.379,316.088,0.0,71.566
1998-11-01,4056.047276000001,2620.6,2553.936,1081.632,222.868,341.329,0.0,131.122,,70.735,73.557,190.984,89.912,980.876,150.626,290.785,0.0,67.655
1998-12-01,4086.6232530000007,2762.9,2677.323,1065.307,300.686,394.806,0.0,205.869,,79.427,74.943,145.447,124.678,1014.227,171.17,346.122,0.0,62.783
1999-01-01,4166.523233,2859.6,2774.293,860.33,124.077,367.616,3.194,55.948,,66.088,61.538,89.164,92.536,876.299,142.808,315.025,0.0,58.889
1999-02-01,3592.6686749999994,2375.1,2297.795,688.299,216.041,225.067,3.628,39.598,,60.502,51.492,98.416,77.575,852.5517000007629,130.801,291.4248000001907,0.0,58.992
1999-03-01,3977.5848980000005,2737.7,2651.131,794.537,169.0,303.127,0.216,51.536,,63.258,53.964,123.815,91.023,1001.669,144.859,313.981,0.0,61.87
1999-04-01,3830.156384,2721.1,2637.89,935.612,225.333,335.735,2.817,89.612,,78.521,67.168,129.556,119.033,968.981,134.971,288.999,0.0,57.365
1999-05-01,3951.9696949999993,2669.1,2623.333,925.446,183.563,310.928,17.902,87.16,,66.489,60.921,123.235,117.09,1005.685,133.969,282.139,0.0,58.231
1999-06-01,3648.8703259999997,2552.7,2485.529,805.944,189.617,289.923,14.744,129.291,,69.932,58.59,97.586,84.545,969.719,131.391,276.009,0.0,42.593
1999-07-01,3800.704520000002,2749.9,2674.3,990.756,243.19,403.676,15.953,195.695,,89.957,77.541,188.334,116.411,948.33,138.727,294.147,0.0,53.657
1999-08-01,3889.916909999999,2794.9,2715.031,1124.08,217.552,469.547,16.358,158.161,,77.44,74.591,168.527,128.128,979.736,142.892,290.766,0.0,69.998
1999-09-01,3725.648464999999,2622.9,2551.578,858.176,179.78,310.25,14.673,84.182,,60.388,57.897,121.469,110.381,965.042,136.522,279.795,0.0,74.123
1999-10-01,3774.0863350000013,2755.5,2627.587,811.664,150.87,295.495,0.462,87.931,,51.797,49.16,98.547,85.348,961.35,139.622,294.266,0.0,73.457
1999-11-01,3591.538979000001,2657.3,2624.925,991.905,162.608,425.907,0.289,108.363,,68.777,60.987,118.027,96.903,1013.691,135.407,285.816,0.0,67.516
1999-12-01,3678.703631000004,2604.0,2604.007,956.28,247.773,346.277,0.24,97.569,,69.271,69.025,118.994,99.472,1043.98,164.612,326.865,0.0,64.991
2000-01-01,3759.1639179999997,2514.4,2514.391,897.342,129.586,407.267,4.371,127.431,,74.795,63.301,132.687,101.779,914.579,111.425,311.556,0.0,51.461
2000-02-01,3459.0996699999996,2498.9,2498.851,902.124,167.565,360.847,6.16,98.741,,76.598,65.645,132.038,101.019,891.732,105.125,291.23,0.0,59.231
2000-03-01,3624.6586590000015,2499.2,2499.225,1014.607,192.088,386.531,37.061,117.753,,88.409,78.059,128.698,114.532,1028.181,109.134,302.877,0.0,53.117
2000-04-01,3621.146441,2442.9,2442.856,888.836,123.023,365.034,22.81,114.29,,79.075,62.955,49.382000000000005,90.461,931.304,103.052,291.543,0.0,34.519
