,period,sales_quantity
168,2010-01-01,1055.5088478
169,2010-02-01,995.455453
170,2010-03-01,1212.2286859999997
171,2010-04-01,1202.3931270000005
172,2010-05-01,1175.3427130000002
173,2010-06-01,1122.9687089999993
174,2010-07-01,1161.6492717000006
175,2010-08-01,1152.0654244000002
176,2010-09-01,1122.8805009999996
177,2010-10-01,1154.1086329999998
178,2010-11-01,1182.398019
179,2010-12-01,1238.4445029999997
180,2011-01-01,1134.9463469999998
181,2011-02-01,1034.4704740000004
182,2011-03-01,1217.0197190000008
183,2011-04-01,1223.2788139999998
184,2011-05-01,1185.2067263000004
185,2011-06-01,1157.3398953000003
186,2011-07-01,1195.957712100001
187,2011-08-01,1214.7218513
188,2011-09-01,1208.3517382
189,2011-10-01,1186.8552284
190,2011-11-01,1206.5376936000002
191,2011-12-01,1245.987543900001
192,2012-01-01,1115.8575569000009
193,2012-02-01,990.5899356999998
194,2012-03-01,1181.4000926
195,2012-04-01,1139.4809100000002
196,2012-05-01,1146.6837560999995
197,2012-06-01,1103.0750692000006
198,2012-07-01,1165.8754573999993
199,2012-08-01,1131.5976936000002
200,2012-09-01,1063.6252268999997
201,2012-10-01,1110.9889585999997
202,2012-11-01,1178.706479
203,2012-12-01,1163.9461030999998
204,2013-01-01,1118.3565496
205,2013-02-01,991.2589918
206,2013-03-01,1152.1766924
207,2013-04-01,1198.4035732000004
208,2013-05-01,1207.6927409000004
209,2013-06-01,1101.2498416000003
210,2013-07-01,1175.4631148999997
211,2013-08-01,1181.4370642999995
212,2013-09-01,1099.8474928
213,2013-10-01,1183.2431746999996
214,2013-11-01,1157.1838461
215,2013-12-01,1183.6011787
216,2014-01-01,1109.8453143
217,2014-02-01,1013.9197978999993
218,2014-03-01,1106.5942596
219,2014-04-01,1268.4099388
220,2014-05-01,1131.7699604999996
221,2014-06-01,1163.0769986
222,2014-07-01,1226.1911303
223,2014-08-01,1063.3373935
224,2014-09-01,1141.5142414
225,2014-10-01,1176.5167580000002
226,2014-11-01,1143.2676188999997
227,2014-12-01,1172.2385321000004
228,2015-01-01,1106.2078892000002
229,2015-02-01,966.8862666
230,2015-03-01,1091.3837228999998
231,2015-04-01,1129.1746349000002
232,2015-05-01,1102.9544573000005
233,2015-06-01,1129.0097876999996
234,2015-07-01,1221.6158986
235,2015-08-01,1160.4864326999998
236,2015-09-01,1113.8662109000002
237,2015-10-01,1159.9130769
238,2015-11-01,1112.9624144000002
239,2015-12-01,1120.5625401
240,2016-01-01,1068.6055066
241,2016-02-01,1017.5113163
242,2016-03-01,1145.7581408
243,2016-04-01,1121.5623632
244,2016-05-01,1263.0509846999998
245,2016-06-01,1261.2648002
246,2016-07-01,1142.5661084999997
247,2016-08-01,1182.3124678999998
248,2016-09-01,1078.574574
249,2016-10-01,1085.3323425
250,2016-11-01,1133.6891975999995
251,2016-12-01,1174.6992657999997
252,2017-01-01,1055.3190360999995
253,2017-02-01,952.1887923000004
254,2017-03-01,1152.3410751
255,2017-04-01,1060.9292794999994
256,2017-05-01,1192.1565673
257,2017-06-01,1172.5814598999998
258,2017-07-01,1153.5935685
259,2017-08-01,1190.1796003
260,2017-09-01,1166.4276102
261,2017-10-01,1186.2856475
262,2017-11-01,1229.4799672
263,2017-12-01,1206.0704672999998
264,2018-01-01,1110.4679339000006
265,2018-02-01,988.1459364
266,2018-03-01,1218.1884632000003
267,2018-04-01,1157.231525
268,2018-05-01,1146.1327290000004
269,2018-06-01,1129.722712
270,2018-07-01,1141.9807169999997
271,2018-08-01,1197.860191
272,2018-09-01,1050.3615839999998
273,2018-10-01,1124.9747079999995
274,2018-11-01,1106.0834430000002
275,2018-12-01,1119.8059959999998
276,2019-01-01,1039.2140379999998
277,2019-02-01,1014.941329
278,2019-03-01,1131.907616
279,2019-04-01,1138.828548
280,2019-05-01,1145.368777
281,2019-06-01,1066.5573089999996
282,2019-07-01,1189.152423
283,2019-08-01,1175.179988
284,2019-09-01,1083.6716920000003
285,2019-10-01,1133.312879
286,2019-11-01,1142.6492220000005
287,2019-12-01,1135.428793
